"","year","strata","biomass","biomass_cv","cpue","cpue_cv"
"1",1984,"CGOA",31172,0.0916578930552928,NA,NA
"2",1987,"CGOA",20554.4,0.125773359000363,NA,NA
"3",1990,"CGOA",5940.7,0.246134,NA,NA
"4",1992,"CGOA",NA,NA,20696.5,0.122426
"5",1993,"CGOA",12508.6,0.162525,16336.9,0.204062
"6",1994,"CGOA",NA,NA,16017,0.161148
"7",1995,"CGOA",NA,NA,13042.7,0.162892
"8",1996,"CGOA",19030.3,0.101871,17214.5,0.15477
"9",1997,"CGOA",NA,NA,15449.2,0.171434
"10",1998,"CGOA",NA,NA,18082.7,0.104128
"11",1999,"CGOA",32589.5,0.0679791382475523,23833.6,0.113796
"12",2000,"CGOA",NA,NA,16954.3,0.160979
"13",2001,"CGOA",19908.4,0.0813862,31076,0.13603
"14",2002,"CGOA",NA,NA,23109,0.114958
"15",2003,"CGOA",53249.9,0.137078340092002,22860.8,0.103045
"16",2004,"CGOA",NA,NA,14944.3,0.0868154
"17",2005,"CGOA",42418.6,0.061328785988873,19580.4,0.150606
"18",2006,"CGOA",NA,NA,19549.7,0.112951
"19",2007,"CGOA",37606.6,0.0716138963066513,18925.2,0.142878
"20",2008,"CGOA",NA,NA,27239,0.129673
"21",2009,"CGOA",28555.9,0.0849681912446178,19801.5,0.193521
"22",2010,"CGOA",NA,NA,24000.1,0.131139
"23",2011,"CGOA",28056.8,0.0882351831486139,23041.2,0.121077
"24",2012,"CGOA",NA,NA,26388.2,0.0985981
"25",2013,"CGOA",32063.8,0.11227798003751,31873,0.133391
"26",2014,"CGOA",NA,NA,27896.9,0.210491
"27",2015,"CGOA",44906,0.0937374316728816,27130,0.106856
"28",2016,"CGOA",NA,NA,19792.6,0.0758243
"29",2017,"CGOA",33435.6,0.0966562974908378,25866.2,0.0771511
"30",2018,"CGOA",NA,NA,19636.6,0.0972566
"31",2019,"CGOA",33612.7,0.0928487934842259,19329.2,0.116644
"32",2020,"CGOA",NA,NA,18657.2,0.200651
